NR_ZONA;NR_SECAO;DS_GENERO;DS_FAIXA_ETARIA;DS_GRAU_ESCOLARIDADE;DS_TIPO_DEFICIENCIA;;;;;;
127;534;FEMININO;80 a 84 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;220;FEMININO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;263;MASCULINO;55 a 59 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
127;533;FEMININO;85 a 89 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
411;42;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;435;MASCULINO;50 a 54 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
127;632;FEMININO;50 a 54 anos                  ;SUPERIOR COMPLETO;DEFICENCIA AUDITIVA;;;;;;
411;222;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;321;MASCULINO;75 a 79 anos                  ;LE E ESCREVE;DEFICIENCIA VISUAL;;;;;;
127;1;FEMININO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;212;MASCULINO;25 a 29 anos                  ;ANALFABETO;OUTROS;;;;;;
127;601;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
282;174;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;5;FEMININO;90 a 94 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
127;553;MASCULINO;75 a 79 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
411;182;FEMININO;50 a 54 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;170;MASCULINO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;28;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;239;FEMININO;40 a 44 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;290;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
412;280;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;2;FEMININO;45 a 49 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;154;FEMININO;65 a 69 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;207;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
411;203;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;196;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;165;MASCULINO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
127;537;MASCULINO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;153;MASCULINO;20 anos                       ;ENSINO MEDIO INCOMPLETO;DEFICENCIA AUDITIVA;;;;;;
282;27;MASCULINO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;195;FEMININO;50 a 54 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;38;MASCULINO;45 a 49 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
127;634;FEMININO;75 a 79 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;37;MASCULINO;30 a 34 anos                  ;ANALFABETO;OUTROS;;;;;;
412;394;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;196;FEMININO;70 a 74 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;369;MASCULINO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;197;MASCULINO;70 a 74 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
411;1;MASCULINO;30 a 34 anos                  ;ANALFABETO;OUTROS;;;;;;
412;264;MASCULINO;75 a 79 anos                  ;LE E ESCREVE;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;177;FEMININO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
411;318;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;28;FEMININO;45 a 49 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;203;MASCULINO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
412;219;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;194;FEMININO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;169;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;26;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;107;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;189;MASCULINO;20 anos                       ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;537;MASCULINO;18 anos                       ;ANALFABETO;OUTROS;;;;;;
412;431;FEMININO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;176;FEMININO;60 a 64 anos                  ;SUPERIOR INCOMPLETO;OUTROS;;;;;;
412;195;FEMININO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;251;MASCULINO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
411;150;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;266;FEMININO;40 a 44 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
411;42;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;318;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;261;FEMININO;70 a 74 anos                  ;ANALFABETO;OUTROS;;;;;;
127;533;FEMININO;65 a 69 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
127;534;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;170;MASCULINO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
282;25;MASCULINO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
411;200;FEMININO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;4;FEMININO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;63;MASCULINO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;26;MASCULINO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
412;321;MASCULINO;70 a 74 anos                  ;LE E ESCREVE;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;130;MASCULINO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;297;FEMININO;65 a 69 anos                  ;LE E ESCREVE;OUTROS;;;;;;
127;26;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
412;216;MASCULINO;45 a 49 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;369;MASCULINO;30 a 34 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
411;318;FEMININO;25 a 29 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;5;FEMININO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;168;MASCULINO;40 a 44 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;235;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;189;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
282;72;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;645;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;200;FEMININO;50 a 54 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;44;MASCULINO;35 a 39 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;728;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;65;MASCULINO;80 a 84 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
127;647;MASCULINO;30 a 34 anos                  ;LE E ESCREVE;OUTROS;;;;;;
127;693;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;226;FEMININO;30 a 34 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;196;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;453;FEMININO;35 a 39 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;533;MASCULINO;65 a 69 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;183;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;436;FEMININO;50 a 54 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
411;174;MASCULINO;80 a 84 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;326;FEMININO;40 a 44 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
412;166;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
411;42;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;225;MASCULINO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;254;FEMININO;40 a 44 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;319;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;220;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;199;MASCULINO;40 a 44 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
282;237;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;540;FEMININO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;1;MASCULINO;30 a 34 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
127;653;MASCULINO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
411;200;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;321;MASCULINO;60 a 64 anos                  ;ANALFABETO;OUTROS;;;;;;
412;64;MASCULINO;21 a 24 anos                  ;ANALFABETO;OUTROS;;;;;;
127;533;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
411;168;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;634;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;197;FEMININO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
127;26;MASCULINO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;540;MASCULINO;70 a 74 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
411;135;FEMININO;50 a 54 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;95;FEMININO;60 a 64 anos                  ;LE E ESCREVE;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
411;36;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;49;FEMININO;40 a 44 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
282;186;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;255;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;180;FEMININO;35 a 39 anos                  ;ENSINO MEDIO INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;718;FEMININO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;521;MASCULINO;65 a 69 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;641;MASCULINO;70 a 74 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;633;FEMININO;65 a 69 anos                  ;LE E ESCREVE;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;102;MASCULINO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
412;448;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
127;281;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;169;MASCULINO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;200;MASCULINO;55 a 59 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;168;FEMININO;30 a 34 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;93;FEMININO;70 a 74 anos                  ;LE E ESCREVE;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;263;MASCULINO;80 a 84 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
282;133;FEMININO;55 a 59 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;203;MASCULINO;55 a 59 anos                  ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
127;614;MASCULINO;17 anos                       ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;166;FEMININO;60 a 64 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;540;FEMININO;55 a 59 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;669;MASCULINO;50 a 54 anos                  ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
411;90;FEMININO;25 a 29 anos                  ;ANALFABETO;OUTROS;;;;;;
412;458;FEMININO;50 a 54 anos                  ;LE E ESCREVE;OUTROS;;;;;;
412;479;FEMININO;55 a 59 anos                  ;ANALFABETO;OUTROS;;;;;;
127;533;FEMININO;65 a 69 anos                  ;SUPERIOR INCOMPLETO;OUTROS;;;;;;
411;200;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;194;FEMININO;70 a 74 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;641;MASCULINO;85 a 89 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;128;MASCULINO;70 a 74 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;341;FEMININO;30 a 34 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;36;FEMININO;50 a 54 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICENCIA AUDITIVA;;;;;;
282;154;FEMININO;60 a 64 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;169;MASCULINO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;200;FEMININO;70 a 74 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
127;133;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;45;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;234;FEMININO;60 a 64 anos                  ;ANALFABETO;OUTROS;;;;;;
412;210;MASCULINO;60 a 64 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
411;202;MASCULINO;75 a 79 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;98;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;99;FEMININO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
411;95;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;26;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
411;235;FEMININO;60 a 64 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;14;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
411;301;FEMININO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;141;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
411;57;FEMININO;75 a 79 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;1;FEMININO;75 a 79 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;125;FEMININO;35 a 39 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
127;435;FEMININO;75 a 79 anos                  ;LE E ESCREVE;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;37;MASCULINO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
127;628;FEMININO;70 a 74 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;34;MASCULINO;50 a 54 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;13;MASCULINO;50 a 54 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;408;MASCULINO;35 a 39 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;109;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
412;43;FEMININO;45 a 49 anos                  ;LE E ESCREVE;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;534;FEMININO;90 a 94 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA VISUAL;;;;;;
282;76;FEMININO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;635;MASCULINO;75 a 79 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
411;51;MASCULINO;45 a 49 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;166;FEMININO;65 a 69 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;395;FEMININO;21 a 24 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;342;MASCULINO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;143;FEMININO;55 a 59 anos                  ;LE E ESCREVE;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;165;MASCULINO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;289;MASCULINO;18 anos                       ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
282;49;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;318;MASCULINO;70 a 74 anos                  ;SUPERIOR INCOMPLETO;OUTROS;;;;;;
411;102;MASCULINO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;16;MASCULINO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
